hello,hello2,phase,millis
1760027589776,theboxer000,start_to_first,256
1760027589927,theboxer000,first_to_second,151
1760027595621,theboxer000,start_to_first,302
1760027595824,theboxer000,first_to_second,202
1760027600728,theboxer000,start_to_first,151
1760027600879,theboxer000,first_to_second,151
1760027618829,theboxer000,start_to_first,304
1760027618980,theboxer000,first_to_second,151
1760027621765,theboxer000,start_to_first,101
1760027621917,theboxer000,first_to_second,152
1760027627527,theboxer000,start_to_first,252
1760027627730,theboxer000,first_to_second,203
1760027631271,theboxer000,start_to_first,253
1760027631472,theboxer000,first_to_second,201
1760027636924,theboxer000,start_to_first,101
1760027637129,theboxer000,first_to_second,205
1760027641073,theboxer000,start_to_first,253
1760027646429,theboxer000,start_to_first,355
1760027646628,theboxer000,first_to_second,199
1760027651224,theboxer000,start_to_first,205
1760027656278,theboxer000,start_to_first,153
1760027656472,theboxer000,first_to_second,194
1760027659522,theboxer000,start_to_first,354
1760027659672,theboxer000,first_to_second,150
1760027664717,theboxer000,start_to_first,200
1760027664921,theboxer000,first_to_second,203
1760027667829,theboxer000,start_to_first,305
1760027668017,theboxer000,first_to_second,189
1760027670919,theboxer000,start_to_first,301
1760027671130,theboxer000,first_to_second,210
1760027674370,theboxer000,start_to_first,102
1760027674522,theboxer000,first_to_second,152
1760027678772,theboxer000,start_to_first,251
1760027678925,theboxer000,first_to_second,153
1760027683880,theboxer000,start_to_first,305
1760027684066,theboxer000,first_to_second,186
1760027687382,theboxer000,start_to_first,153
1760027707965,theboxer000,start_to_first,286
1760027708115,theboxer000,first_to_second,150
1760027711324,theboxer000,start_to_first,302
1760027711527,theboxer000,first_to_second,202
1760027716617,theboxer000,start_to_first,249
1760027716769,theboxer000,first_to_second,152
1760027720078,theboxer000,start_to_first,101
1760027725419,theboxer000,start_to_first,252
1760027725571,theboxer000,first_to_second,151
1760027730926,theboxer000,start_to_first,50
1760027731131,theboxer000,first_to_second,205
1760027737028,theboxer000,start_to_first,151
1760027737179,theboxer000,first_to_second,151
1760027741021,theboxer000,start_to_first,302
1760027741224,theboxer000,first_to_second,204
1760027746278,theboxer000,start_to_first,151
1760027749528,theboxer000,start_to_first,252
1760027749729,theboxer000,first_to_second,200
1760027752874,theboxer000,start_to_first,307
1760027753074,theboxer000,first_to_second,200
1760027758373,theboxer000,start_to_first,150
1760027758575,theboxer000,first_to_second,202
1760027769122,theboxer000,start_to_first,308
1760027769271,theboxer000,first_to_second,149
1760027772420,theboxer000,first_to_second,202
1760027778366,theboxer000,start_to_first,389
1760027778540,theboxer000,first_to_second,174
1760027782477,theboxer000,start_to_first,252
1760027782679,theboxer000,first_to_second,201
1760027785674,theboxer000,start_to_first,202
1760027785825,theboxer000,first_to_second,152
1760027791019,theboxer000,start_to_first,151
1760027791220,theboxer000,first_to_second,201
1760027797174,theboxer000,start_to_first,100
1760027797375,theboxer000,first_to_second,202
1760027801075,theboxer000,start_to_first,157
1760027806283,theboxer000,start_to_first,309
1760027806467,theboxer000,first_to_second,184
1760027810521,theboxer000,first_to_second,201
1760027814521,theboxer000,start_to_first,300
1760027814672,theboxer000,first_to_second,151
1760027819882,theboxer000,start_to_first,251
1760027820080,theboxer000,first_to_second,200
1760027823279,theboxer000,start_to_first,255
1760027823480,theboxer000,first_to_second,201
1760027828263,theboxer000,start_to_first,84
1760027833173,theboxer000,start_to_first,100
1760027833375,theboxer000,first_to_second,203
1760027837529,theboxer000,start_to_first,151
1760027837716,theboxer000,first_to_second,187
1760027843070,theboxer000,start_to_first,251
1760027843272,theboxer000,first_to_second,202
1760027848528,theboxer000,start_to_first,252
1760027848728,theboxer000,first_to_second,200
1760027854280,theboxer000,start_to_first,304
1760027854465,theboxer000,first_to_second,185
1760027858969,theboxer000,start_to_first,253
1760027859120,theboxer000,first_to_second,151
1760027863615,theboxer000,start_to_first,151
1760027863825,theboxer000,first_to_second,210
1760027866773,theboxer000,start_to_first,303
1760027866925,theboxer000,first_to_second,152
1760027875479,theboxer000,start_to_first,204
1760027875679,theboxer000,first_to_second,200
1760027880967,theboxer000,start_to_first,302
1760027901075,theboxer000,start_to_first,252
1760027901226,theboxer000,first_to_second,151
1760027904520,theboxer000,start_to_first,251
1760027904670,theboxer000,first_to_second,150
1760027909724,theboxer000,start_to_first,254
1760027909924,theboxer000,first_to_second,200
1760027926029,theboxer000,start_to_first,250
1760027926213,theboxer000,first_to_second,184
1760027930568,theboxer000,start_to_first,201
1760027930770,theboxer000,first_to_second,202
1760027935271,theboxer000,start_to_first,201
1760027935475,theboxer000,first_to_second,203
1760027938671,theboxer000,start_to_first,303
